The following lemmas are in the the LccSentiment and are in the expanded but not in the base asent (sentida2) lexicon:
('dog', -0.1613266766071319)
('pressefrihed', 1.1969434022903442)
('safari', 1.2315950393676758)
('danmark', 0.7442799806594849)
('stening', -2.9362754821777344)
('intuitiv', 1.1023586988449097)
('efteruddanne', 0.5331277847290039)
('eg', 0.3544322252273559)
('selvlært', 0.9378764033317566)
('drengerøv', 1.4841961860656738)
('bestanddel', 0.4733834266662597)
('fedtstof', 0.4270595908164978)
('peberspray', -2.1700422763824463)
('feedback', 0.986544907093048)
('regneark', -0.0119272097945213)
('afkode', 0.1384742856025695)
('indsatsleder', -0.3096559345722198)
('gruppearbejde', 0.3298646211624145)
('dambrug', -0.8441470265388489)
('rund', 0.0644590333104133)
('overtag', 0.0595920011401176)
('nervesystem', 0.3860647678375244)
('samfundsforhold', 0.6289849877357483)
('opvaskemaskine', -0.6388943791389465)
('transporter', 0.129268616437912)
('æggestok', 0.1377784013748169)
('flyvestation', -0.1837922632694244)
('timer', -0.1216888725757598)
('læg', -0.7291502952575684)
('man', 0.6585773229598999)
('unde', 1.3781590461730957)
('sortering', 0.2051869034767151)
('fribillet', 1.2992984056472778)
('printe', 0.1959410905838012)
('linke', 0.2682215571403503)
('påregne', -0.3437232077121734)
('poker', 0.0050409510731697)
('ekstraudgift', -1.1877995729446411)
('inklusion', 0.8200175762176514)
('forhjul', 0.623492956161499)
('overherredømme', 0.7801453471183777)
('digitalisere', 0.8839057087898254)
('ordspil', 1.3999803066253662)
('setup', 0.4249908328056335)
('tilnærmelsesvis', 0.4718395471572876)
('håndholdt', 0.258380651473999)
('læreplads', 0.936022698879242)
('fotografering', 0.4410242438316345)
('strå', -0.6729797720909119)
('vidtløftig', -0.5828277468681335)
('paradigme', 0.3580830693244934)
('vagthund', -0.0579439774155616)
('afdrage', -0.5446447134017944)
('sociologisk', 0.473942220211029)
('målbar', 0.2183758616447448)
('indkomme', -0.2563221752643585)
('pensle', -0.6999425888061523)
('stadsarkiv', 0.2001701593399047)
('formålsparagraf', 0.2471347451210022)
('tilsætningsstof', 0.0517828240990638)
('vugge', 0.3622828125953674)
('ni', 0.5761594176292419)
('selv', 0.3698621392250061)
('elastik', -0.0574422106146812)
('artig', 2.3921010494232178)
('large', -0.7826234698295593)
('programpunkt', 0.2826168537139892)
('kritikpunkt', -0.6051795482635498)
('logge', 0.4399111270904541)
('sengeplads', 0.4858186841011047)
('skøde', 0.315583735704422)
('ekspropriere', -0.729697048664093)
('ønskeliste', -0.0969115421175956)
('mere', 0.3046176731586456)
('vi', 0.00838453322649)
('ældre', -0.3890832364559173)
('udestue', 0.654715895652771)
('læ', -0.3908721208572387)
('butikslokale', -0.2495948076248169)
('ekspropriation', -0.4569299221038818)
('strømline', 1.2967474460601809)
('alting', 0.9147142767906188)
('manual', 0.4616016745567322)
('karl', 0.241811454296112)
('osse', 0.4819672107696533)
('hardcore', -1.2058125734329224)
('sundhedscenter', -1.60062575340271)
('snehvid', 1.0634866952896118)
('stive', -1.1472021341323853)
('dy', -0.8832764029502869)
('vækstmulighed', 1.1757429838180542)
('partitop', -2.872318983078003)
('apparatur', 0.2875274121761322)
('generalisere', -1.491915225982666)
('processor', 0.0618302002549171)
('animere', 0.4354787468910217)
('flormelis', 0.6028568148612976)
('tætte', 0.4968896508216858)
('miks', 0.8492854833602905)
('konkurrenceråd', -0.0130302347242832)
('kuppe', -1.5097302198410034)
('ugyldig', -2.849104166030884)
('trafikdræbt', -2.1459383964538574)
('faglitteratur', 0.4602755308151245)
('tube', -0.5320176482200623)
('server', 0.3433215320110321)
('amme', 0.2462222278118133)
('blitz', -1.4490907192230225)
('vedligehold', 0.7675806879997253)
('stub', 0.2817023396492004)
('sammenlægge', 0.5685698986053467)
('flyttekasse', 0.0178123190999031)
('påberåbe', 0.4819305539131164)
('håndbagage', 0.2019377648830413)
('habil', 2.4096388816833496)
('strukturere', 0.7374441027641296)
('årbog', 0.3641289174556732)
('stilren', 1.716243863105774)
('vindueskarm', -0.203226089477539)
('syning', 0.2982611656188965)
('vejarbejde', -0.8026724457740784)
('ep', -0.1695235669612884)
('omskæring', -0.1445568203926086)
('vvs', 0.6382666826248169)
('plette', -1.4211193323135376)
('julestemning', 2.0425732135772705)
('hovedvægt', 0.6170558929443359)
('beskikke', -0.0779592171311378)
('fodslag', 0.676788866519928)
('videresende', 0.4189808070659637)
('eksemplificere', 0.4698114395141601)
('krokodille', -0.3323786854743957)
('forlede', -2.1364243030548096)
('medium', 0.2988269031047821)
('flyrejse', -0.6410179138183594)
('rentesats', 0.239294558763504)
('henholde', 0.0298025384545326)
('afregne', -0.0775459110736846)
('silhuet', 1.4640361070632937)
('morgenkaffe', 0.5346608757972717)
('motorcyklist', -0.3443908989429474)
('halstørklæde', -0.607843816280365)
('massere', 1.2313207387924194)
('knob', 0.5662025809288025)
('giraf', 0.6113244295120239)
('sydvest', 0.1352356672286987)
('så', 1.070294976234436)
('zebra', -0.3535038530826568)
('bilægge', 0.4288497269153595)
('realisering', 0.6817376017570496)
('tærte', 0.2156232297420501)
('afkøling', -0.2693392038345337)
('hovedsag', 0.3367804884910583)
('non', -3.9148244857788086)
('uvirkelig', -2.533766269683838)
('fragt', 1.2438923120498655)
('kegle', 0.8268005847930908)
('gemme', 0.2593050003051758)
('ubeskrivelig', 0.1185826435685157)
('udfærdige', 0.2865843176841736)
('succesoplevelse', 1.6135053634643557)
('firehjulstræk', 0.7973094582557678)
('hundeejer', -0.6840236783027649)
('to', 0.3769034743309021)
('jobtræning', -0.0249818190932273)
('vejviser', 0.2979341447353363)
('gram', 0.7002065777778625)
('multi', 0.1914570331573486)
('mar', -0.1520869731903076)
('dødsulykke', -2.1579067707061768)
('tanker', 0.3546182513236999)
('tilbageblik', 0.6889268159866333)
('indtaste', 0.413419634103775)
('eftersmag', 0.0789248719811439)
('lage', 0.793977677822113)
('lynlås', -0.680669903755188)
